region,state,county,county2,poor_mental_health_days,poor_physical_health_days,poor_or_fair_health,adult_smoking,infant_mortality,high_school_graduation,premature_death,premature_ageadjusted_mortality,social_associations,homicide_rate,unemployment,low_birthweight,preventable_hospital_stays,children_in_singleparent_households,excessive_drinking,injury_deaths,mean_commute_minutes_x,children_in_poverty,diabetes,motor_vehicle_crash_deaths,severe_housing_problems
South,Alabama,Autauga County,"Autauga County, Alabama",,1.8,0.058,0.098,0,0.881,4528,196,13.285,0,0.058,0.09,25.17,0.225,0.265,80.4,15.895,0.121,0.039,21.25,0.123
South,Alabama,"Baldwin County, AL","Baldwin County, AL, Alabama",,2.2,0,0.095,0,0.83,2984,121,7.845,0,0.058,0.11,15.35,0.275,0.329,44.7,15.5623,0.131,0.04,16.57,0.141
South,Alabama,Barbour County,"Barbour County, Alabama",,2.4,0.087,0.075,0,0.909,3928,181.7,6.578,0,0.039,0.09,22.44,0.19,0.191,49.7,21.1842,0.096,0.04,18.67,0.186
South,Alabama,Bibb County,"Bibb County, Alabama",,2.5,0.154,0.095,3.7,0.75,3493,148.7,10.024,0,0.066,0.1,20.03,0.191,0.232,41.6,19.2323,0.136,0.041,25.87,0.096
South,Alabama,Blount County,"Blount County, Alabama",,2.1,0.059,0.098,0,0.825,3853,164.1,19.839,0,0.053,0.06,26.91,0.184,0.211,46.8,13.6412,0.105,0.043,25.57,0.118
South,Alabama,Bullock County,"Bullock County, Alabama",,2.7,0.082,0.134,5.9,0.86,4621,226.3,13.605,0,0.044,0.07,31.57,0.212,0.218,58,16.2858,0.13,0.044,54.19,0.134
South,Alabama,Butler County,"Butler County, Alabama",,2.2,0.067,0.083,3.9,0.87,3538,169.3,5.835,1.5,0.054,0.09,32.71,0.146,0.176,36.2,24.8669,0.038,0.045,21.32,0.178
South,Alabama,"Calhoun County, AL","Calhoun County, AL, Alabama",,3.4,0.114,0.173,4.2,0.884,5883,298.1,11.444,0,0.053,0.07,38.16,0.288,0.221,79.4,16.5476,0.188,0.046,17.54,0.145
South,Alabama,Chambers County,"Chambers County, Alabama",,2.8,0.091,0.115,5.1,0.866,4065,207.5,9.433,1.2,0.052,0.07,32.56,0.238,0.155,63.4,20.0396,0.128,0.047,28.22,0.171
South,Alabama,Cherokee County,"Cherokee County, Alabama",,2.7,0.07,0.138,0,0.875,5331,204,20.679,0,0.059,0.09,35.76,0.259,0.265,56,13.4617,0.181,0.048,24.37,0.116
South,Alabama,Chilton County,"Chilton County, Alabama",,0,0,0,0,0,3445,153.2,14.512,0,0.063,0.07,0,0.19,0.274,61.9,17.3788,0.18,0.048,30.34,0.169
South,Alabama,Choctaw County,"Choctaw County, Alabama",,1.8,0,0,0,0.975,2835,118.5,19.695,0,0.065,0.09,17.97,0.179,0.263,60,15.9608,0.089,0.049,45.99,0.135
South,Alabama,Clarke County,"Clarke County, Alabama",,3.3,0.145,0.163,4.8,0.638,7337,292.1,9.018,6.5,0.055,0.1,30.03,0.388,0.136,94,20.0779,0.269,0.051,29.09,0.152
South,Alabama,Clay County,"Clay County, Alabama",,5.2,0.191,0.146,0,0.697,5855,270,14.99,0,0.084,0.15,77.51,0.389,0.17,100.1,22.3021,0.268,0.052,20.51,0.147
South,Alabama,Cleburne County,"Cleburne County, Alabama",,2.4,0.071,0.152,0,0.873,5095,235,6.843,0,0.058,0.09,33.22,0.137,0.165,64.2,35.4193,0.091,0.053,19.27,0.144
South,Alabama,Coffee County,"Coffee County, Alabama",,3,0.103,0.148,4.8,0.828,4779,232.1,8.986,1.7,0.054,0.08,40.68,0.234,0.164,56.8,20.9613,0.127,0.053,21.26,0.121
South,Alabama,Colbert County,"Colbert County, Alabama",,2.4,0.082,0.101,3.9,0.81,3388,199.9,12.848,1.6,0.036,0.07,32.91,0.226,0.187,26.1,26.4397,0.112,0.053,19.94,0.14
South,Alabama,Conecuh County,"Conecuh County, Alabama",,2.1,0,0.219,0,0.798,5104,212,16.203,0,0.059,0.11,28.15,0.238,0.22,54.7,17.9757,0.164,0.054,36.55,0.206
South,Alabama,Coosa County,"Coosa County, Alabama",,3,0.102,0.141,0,0.85,5474,278.7,11.536,0,0.04,0.1,53.69,0.242,0.163,55.3,12.0525,0.142,0.054,25.31,0.159
South,Alabama,Covington County,"Covington County, Alabama",,2.9,0.106,0.031,4.7,1,4276,246,1.869,0,0.046,0.05,26.82,0.118,0.032,29.5,14.4389,0.191,0.055,23.86,0.164
South,Alabama,Crenshaw County,"Crenshaw County, Alabama",,2.3,0.076,0.135,4.8,0.897,4353,233.5,9.243,2.3,0.033,0.07,42.44,0.267,0.224,39.1,17.5758,0.127,0.055,31.74,0.117
South,Alabama,Cullman County,"Cullman County, Alabama",,2.2,0.064,0.107,4.1,0.934,3945,212.2,14.922,2.2,0.035,0.06,44.13,0.211,0.18,36,16.9353,0.105,0.055,26.04,0.14
South,Alabama,Dale County,"Dale County, Alabama",,2.5,0.085,0.174,0,0.777,5237,233,10.114,4.9,0.055,0.08,24.26,0.286,0.213,77.4,19.8036,0.146,0.056,20.06,0.114
